epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,24082.1,0.96191,1.18724,1.14895,0.77454,0.77814,0.81923,0.5612,1.07556,1.15177,1.25346,0.003007,0.003007,0.003007
107,24317.7,0.95529,1.18227,1.14962,0.77597,0.77733,0.81922,0.56136,1.07542,1.15129,1.25316,0.0029404,0.0029404,0.0029404
108,24541.9,0.95609,1.18103,1.14847,0.77495,0.77841,0.81913,0.56144,1.07566,1.15013,1.25316,0.0028738,0.0028738,0.0028738
109,24762.6,0.95427,1.17286,1.14739,0.77618,0.77786,0.81916,0.56199,1.07564,1.14932,1.25308,0.0028072,0.0028072,0.0028072
110,24984.6,0.95716,1.18101,1.14644,0.77533,0.77896,0.82026,0.56195,1.07527,1.14922,1.25282,0.0027406,0.0027406,0.0027406
111,25211.2,0.95454,1.17791,1.14559,0.77491,0.77916,0.82017,0.56206,1.07516,1.14862,1.25259,0.002674,0.002674,0.002674
112,25444,0.95456,1.17809,1.14803,0.7748,0.7794,0.82029,0.56182,1.07482,1.14819,1.25229,0.0026074,0.0026074,0.0026074
113,25674.6,0.94892,1.172,1.14183,0.77582,0.77892,0.82037,0.56212,1.07474,1.14789,1.25198,0.0025408,0.0025408,0.0025408
114,25903,0.94783,1.16424,1.14486,0.77601,0.77778,0.82029,0.56233,1.07452,1.14753,1.25176,0.0024742,0.0024742,0.0024742
115,26127.7,0.94414,1.16471,1.14362,0.77563,0.77895,0.82042,0.5627,1.07423,1.14726,1.25138,0.0024076,0.0024076,0.0024076
116,26359.4,0.9445,1.15676,1.14059,0.77577,0.77867,0.82071,0.56335,1.07378,1.14728,1.25089,0.002341,0.002341,0.002341
117,26586.1,0.94098,1.1532,1.14159,0.77346,0.78046,0.82061,0.56337,1.07355,1.14702,1.25053,0.0022744,0.0022744,0.0022744
118,26819,0.94183,1.15357,1.13837,0.77278,0.77922,0.8201,0.56357,1.0734,1.14664,1.25041,0.0022078,0.0022078,0.0022078
119,27049.9,0.9353,1.14368,1.13791,0.77237,0.78147,0.82024,0.56361,1.07293,1.14656,1.24997,0.0021412,0.0021412,0.0021412
120,27280,0.93223,1.13668,1.13379,0.77098,0.78225,0.82021,0.56408,1.07231,1.14667,1.24945,0.0020746,0.0020746,0.0020746
121,27515,0.93206,1.13505,1.13353,0.77097,0.78161,0.82016,0.56452,1.07165,1.147,1.24879,0.002008,0.002008,0.002008
122,27738.1,0.93175,1.13755,1.1344,0.77175,0.78253,0.82026,0.56491,1.07114,1.14643,1.24806,0.0019414,0.0019414,0.0019414
123,27973.8,0.92464,1.12419,1.13446,0.77168,0.78258,0.82016,0.56515,1.0709,1.14593,1.24796,0.0018748,0.0018748,0.0018748
